3> TweetsCount{windowStart=Thu Nov 21 23:16:00 PST 2019, windowEnd=Thu Nov 21 23:16:30 PST 2019, hashTag='StopOpressingChildren', count=2}
4> TweetsCount{windowStart=Thu Nov 21 23:16:30 PST 2019, windowEnd=Thu Nov 21 23:17:00 PST 2019, hashTag='EXO', count=6}
5> TweetsCount{windowStart=Thu Nov 21 23:17:00 PST 2019, windowEnd=Thu Nov 21 23:17:30 PST 2019, hashTag='JurnalistikPolri2019', count=3}
6> TweetsCount{windowStart=Thu Nov 21 23:17:30 PST 2019, windowEnd=Thu Nov 21 23:18:00 PST 2019, hashTag='EXO', count=10}
7> TweetsCount{windowStart=Thu Nov 21 23:18:00 PST 2019, windowEnd=Thu Nov 21 23:18:30 PST 2019, hashTag='EXO', count=3}
8> TweetsCount{windowStart=Thu Nov 21 23:18:30 PST 2019, windowEnd=Thu Nov 21 23:19:00 PST 2019, hashTag='MAMAVOTE', count=4}
1> TweetsCount{windowStart=Thu Nov 21 23:19:00 PST 2019, windowEnd=Thu Nov 21 23:19:30 PST 2019, hashTag='AtinySelcaDay', count=2}
2> TweetsCount{windowStart=Thu Nov 21 23:19:30 PST 2019, windowEnd=Thu Nov 21 23:20:00 PST 2019, hashTag='MAMAVOTE', count=4}
3> TweetsCount{windowStart=Thu Nov 21 23:20:00 PST 2019, windowEnd=Thu Nov 21 23:20:30 PST 2019, hashTag='EXO', count=4}
4> TweetsCount{windowStart=Thu Nov 21 23:20:30 PST 2019, windowEnd=Thu Nov 21 23:21:00 PST 2019, hashTag='Peing', count=6}
5> TweetsCount{windowStart=Thu Nov 21 23:21:00 PST 2019, windowEnd=Thu Nov 21 23:21:30 PST 2019, hashTag='SarileruNeekevvaruTeaser', count=4}
